;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;cluster
Dominic Fike - 3 Nights;93;94;34;181;441;523;422;660;942;1168;1358;1408;1564;1812;1825;2010;2566;2863;2251;2695;3018;2983;2626;2997;3144;1977;3
Johannes Oerding - An guten Tagen;687;1091;1392;1331;1644;1949;2536;2908;2978;3346;3653;3715;3721;4154;3864;3909;3864;3934;4110;4142;4057;4185;4104;4027;3948;3055;3
Lea - Zu dir;417;668;856;1148;1189;1296;1573;1749;1842;2053;2152;2373;2674;2640;2501;2212;1853;1851;1820;1502;1453;1482;1377;1315;1283;795;3
Lewis Capaldi - Someone You Loved;25;56;1;5;28;31;4;5;7;10;257;688;574;674;884;1103;1288;2124;2864;3657;4233;4779;5333;5208;6001;4398;3
Marshmello feat. Chvrches - Here With Me;694;960;1138;1641;2050;2097;1980;2270;2641;2683;2393;2348;2426;2252;2073;1498;1283;1242;1000;880;882;726;712;621;579;424;3
Max Giesinger - 80 Millionen;33;101;226;239;210;293;443;532;528;693;778;1228;2055;2279;2706;3157;3110;3288;3362;3412;4349;5205;6155;6455;7079;4641;3
Meduza feat. Goodboys - Piece Of Your Heart;9;68;61;107;323;366;602;545;601;820;992;1148;1338;1533;1693;1971;2369;2774;3313;3841;4179;4215;4805;4904;4796;2640;3
Namika - Lieblingsmensch;35;125;286;180;425;710;983;1211;2223;2933;3184;3669;3768;3486;3642;3767;4401;4360;4459;4269;4123;4099;3742;3225;3548;2414;3
Nf - Let You Down;40;73;240;548;1030;1474;1966;2151;2192;2139;2238;2346;2370;2438;2529;2484;2316;1899;1655;1640;1691;1485;1436;1375;1098;724;3
Philipp Dittberner - Das ist dein Leben;137;456;561;734;1254;1618;1584;2056;2011;1925;1849;1843;2040;1961;2447;2483;2523;2772;2375;2603;2790;2667;2545;2538;2415;1578;3
Sarah Connor - Vincent;571;1312;1241;1234;1234;1115;1389;1566;1804;2318;2175;2199;2402;2563;2796;2863;2699;2698;1747;1651;1693;1375;1333;1453;1289;860;3
Sarah Connor - Wie schÃ¶n du bist;247;345;872;822;1243;1018;909;1034;1236;1343;1410;1710;2004;2196;2486;2599;2443;2371;2328;1980;1871;1802;1763;1650;1676;1154;3
TiÃ«sto, Dzeko feat. Preme, Post Malone - Jackie Chan;131;289;482;651;802;774;928;1368;1763;2238;2591;2746;3018;3397;4152;3992;3742;3374;3375;2635;2601;2486;2216;2003;1816;1217;3
Ava Max - So Am I;991;2501;3468;4280;5498;5939;5931;6642;6994;7408;7293;7392;7544;7527;7135;6769;5754;5465;5236;5170;4849;4868;5041;4852;4576;3155;4
Ava Max - Sweet but Psycho;1245;1717;3168;4788;6251;7128;7621;7831;8560;8514;8738;8989;8632;8466;8596;8707;8543;8106;7772;7004;6405;6248;6001;5300;5305;3778;4
Calvin Harris & Rag'n'bone Man - Giant;1773;3722;5226;6482;7545;8174;8445;8412;8750;8771;8976;8509;8637;8854;8082;8126;7817;7386;6655;6388;5422;4771;4813;4457;4321;2967;4
Kygo & Whitney Houston - Higher Love;1277;2480;3332;4328;5292;6734;7167;7423;7727;8541;8455;8902;8749;8630;8211;8000;7840;6695;6689;6529;6288;6246;6013;5904;5868;3840;4
Shawn Mendes & Camila Cabello - SeÃ±orita;4350;6025;7998;8303;8831;9472;9526;9381;9334;8292;8177;8279;8181;7302;6891;6758;6335;5809;5603;4818;4494;4219;3580;3353;3073;2116;4
Tones And I - Dance Monkey;5606;6520;6715;8032;8175;8374;8675;9048;8759;8497;8609;8589;8624;8177;8209;8127;7649;7041;6667;6052;5651;5541;5282;1914;0;0;4
Ariana Grande - 7 rings;2107;2470;3145;3258;3393;3328;3038;3078;2877;2396;2223;2164;2013;1875;1681;1337;1104;1252;1303;1412;1352;1201;1095;1112;1078;800;5
Bausa - Was Du Liebe nennst;88;619;1052;1737;2770;3190;3164;3465;3653;3496;3595;3492;3425;3586;3439;3591;3249;3083;3039;3108;2892;2406;2219;2137;1921;1365;5
Katy Perry - Never Really Over;1694;2726;3269;3988;4496;4677;4708;5371;5249;5125;5461;4932;4308;3461;2824;2351;1343;1214;1002;879;823;617;637;715;647;488;5
Lady Gaga, Bradley Cooper - Shallow;509;893;1353;1665;2098;2491;2914;3537;3924;4264;4322;4886;5288;5542;5699;5491;5544;4860;4269;4577;4328;4406;3866;3768;3922;2693;5
Lauv & Anne-Marie - Fuck, I'm Lonely;848;1506;2321;2768;3541;4165;3562;3617;3532;3326;3520;3341;3159;2989;2624;1605;1337;1010;988;834;539;469;454;446;438;260;5
Lotte & Max Giesinger - Auf das, was da noch kommt;1177;2050;3275;3949;4048;4485;4692;5296;5302;5426;5430;5511;5510;5471;5275;5111;4197;3867;3836;4141;3953;3803;3795;3425;3465;2311;5
Mark Forster - Einmal;1634;2269;2870;3460;3645;3614;4272;4925;4993;5786;6160;5913;5680;6284;6172;5737;5188;4677;3665;3378;3097;2534;2381;2091;1984;1219;5
Sam Smith - How Do You Sleep?;1217;2122;2939;3266;3730;3679;3930;3842;4250;4464;4609;4661;4411;4226;3740;3801;3464;3076;2570;2439;1850;1530;1632;1670;1634;1065;5
Taylor Swift - You Need To Calm Down;1217;2244;2449;3004;3261;3588;3439;3871;4078;4346;4191;4149;4210;3818;3667;3383;2800;2728;2430;1973;1248;1146;1034;962;879;569;5
Taylor Swift feat. Brendon Urie - Me!;2017;3923;5168;6064;6447;6832;7042;6792;6646;6078;5869;5135;4552;4165;3132;2603;2111;1875;1542;1260;1178;1138;1118;1044;937;650;5
Tim Bendzko - Keine Maschine;1335;2092;2501;2640;2775;2584;2996;4340;4243;4423;4347;4174;4244;4222;3878;3887;3610;3449;3267;3041;1782;1472;1390;1221;1144;739;5
Wincent Weiss - Hier mit dir;753;1132;1586;2521;3444;3750;3801;3768;3918;4127;4236;4427;4579;4620;4485;4714;4718;4377;4645;4614;4432;4209;3667;3454;3002;2064;5
Wincent Weiss - Kaum Erwarten;815;1692;2303;2833;3002;3107;3339;3910;3902;4153;4498;4678;4392;4505;3680;3577;3444;3370;3170;3063;2942;2845;2382;2169;2042;1424;5
